,user_id,username,date,Tweet
0,3169172777,Morgan Freakman,Tue Mar 05 03:20:06 +0000 2019,RT @BOT_MARAH: REZA TOLOL
1,752820410379403264,nau,Tue Mar 05 03:19:57 +0000 2019,@shaiberaccount WKWKWKWK TOLOL
2,105377795,Bella Anandytha,Tue Mar 05 03:19:11 +0000 2019,"Namanya bangke mah mo sampe kapan jg pasti kecium,tolol aja ngapain nyimpen bangke. Bau!"
3,98343786,ğŸ«ğŸ¦‹,Tue Mar 05 03:18:37 +0000 2019,@Minomi_Yesungie sis gue ngasih contoh... gue nggak bakal bikin kayak gitu... lo baca kalimat gue jelas nggak sih. tolong BACA. semakin lo ngomong semakin keliatan tolol
4,529255114,Jenengku Yoga,Tue Mar 05 03:18:17 +0000 2019,"RT @halleluhellyeah: Ngarep pengen punya pacar yang religius itu tolol, sebab kalo beneran religius mana mau di ajak pacaran karena agama mâ€¦"
5,742874992455483393,valerie,Tue Mar 05 03:17:56 +0000 2019,@tubirfess Dari jaman stan lee juga gitu. Bangsat bgt emang. Tolol. Gak ngerti lg gue sama yg begini dah. Langsung report as spam aja sih tweetnya biar kesuspend
6,1026375205122232320,wigunaargun1,Tue Mar 05 03:17:24 +0000 2019,Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 #Jokowi2Periode
7,1027144114624585729,Gesta Putri,Tue Mar 05 03:17:24 +0000 2019,"Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 

#Jokowi2Periode"
8,781692220403351552,tia.,Tue Mar 05 03:16:00 +0000 2019,@rlthingy Lu meluk meluk itu apa ngga jina tolol
9,2671087013,Éªá´„á´€á´‹ğŸ«,Tue Mar 05 03:15:35 +0000 2019,@satantasks @andisvirginia @yolibowly @novasofyana bljr ya tolol
10,902694728260509696,Siwat,Tue Mar 05 03:15:33 +0000 2019,"@rlPlustor Tolol bgt anjir gue p, ktm bener bener gainget nyimpen dimana. Sementara gue ntar balikin buku ke perpus cem mana anjir :(( []"
11,760778680050196481,1001 pencitraan,Tue Mar 05 03:14:57 +0000 2019,@JajangRidwan19 @Consheraa @merdekadotcom Lah tolol km
12,181378146,Baby Paus,Tue Mar 05 03:14:22 +0000 2019,"RT @ahjusi_: @uusbiasaaja Agama ku asik cuman orang nya aja, banyak yang tolol"
13,108219616,bukan akun robotğŸ’¦,Tue Mar 05 03:14:18 +0000 2019,Ekekekekek tolol lu potong lanjutanya https://t.co/DSuL3oEXP4
14,321176201,Nadia,Tue Mar 05 03:13:56 +0000 2019,@tubirfess Gila ya gengsinya tinggi bener lu. Ngerti kagum sama bangga ga? Sirik bilang aja gausah sok2an ngatain udik. Pemikiran tolol
15,952921037221449729,doychisoon is loveğŸ’›â˜„,Tue Mar 05 03:12:59 +0000 2019,@rlthingy najis. gila ada aja cewek kayak gitu. tolol. gaada harga dirinya cih.
16,1102690310054768640,Chanel morat marit,Tue Mar 05 03:10:56 +0000 2019,@siahaan_johan @WahyuWi49689593 @Fahrihamzah @detikcom Helooow unit nya mana?  DUNGU  emang lu rakit ? TOLOL  harganya berapa? IDIOT
17,4306445838,ğŸ®âœ¨,Tue Mar 05 03:10:54 +0000 2019,"RT @southernstream: mak gw langsung tambah pucat, dia teriak ""WAIT, JADI KALIAN BERDUA HOMO?""

""lho mama belom tau kalo aku homo?"" respon aâ€¦"
18,1837776762,bento,Tue Mar 05 03:10:34 +0000 2019,"RT @halleluhellyeah: Ngarep pengen punya pacar yang religius itu tolol, sebab kalo beneran religius mana mau di ajak pacaran karena agama mâ€¦"
19,98343786,ğŸ«ğŸ¦‹,Tue Mar 05 03:10:32 +0000 2019,@Minomi_Yesungie ok deh gue mau menyimpulkan juga kalo semua elf tolol kayak lo
20,2932316106,R,Tue Mar 05 03:09:42 +0000 2019,"#teamSyahrini atau #teamLuna ? KENAPA?
(Ga menerima jawaban tolol seperti â€œga dua2nyaâ€) â€” yaudah gua ngasih jawaban tolol aja. gadua duanya https://t.co/irx7wI27Da"
21,1099666266149683202,elvina,Tue Mar 05 03:09:28 +0000 2019,@tubirfess PLIS BISA GK GAUSA NGETIKNYA INDON? tolol dasar
22,485603876,dotsie,Tue Mar 05 03:08:51 +0000 2019,"RT @ahjusi_: @uusbiasaaja Agama ku asik cuman orang nya aja, banyak yang tolol"
23,1407927332,ranau,Tue Mar 05 03:08:15 +0000 2019,Setolol tololnya orang bodoh ternyata adalah sebodoh bodohnya orang tolol.
24,1095151107603521536,susi imroatul,Tue Mar 05 03:07:47 +0000 2019,"@melaniesaswito @RajaPurwa @yolandaali85 Tolol ketulang2, terbutakan oleh pencitraan"
25,860111289506422785,chan [semi hiatus],Tue Mar 05 03:07:29 +0000 2019,@askmenfess tolol
26,1020731658176102400,ğŸ‘,Tue Mar 05 03:06:51 +0000 2019,"RT @ahjusi_: @uusbiasaaja Agama ku asik cuman orang nya aja, banyak yang tolol"
27,1248726242,PASreddy,Tue Mar 05 03:05:52 +0000 2019,"RT @helmifelis: Cebong ngerti bahasa Inggris? Kan mayoritas pendukungnya tolol

Ini yang gue omongin 3 tahun lalu di FB sekarang ada nih

Iâ€¦"
28,316424774,nizwar,Tue Mar 05 03:05:08 +0000 2019,"RT @halleluhellyeah: Ngarep pengen punya pacar yang religius itu tolol, sebab kalo beneran religius mana mau di ajak pacaran karena agama mâ€¦"
29,1064408260868861954,Kemiskinan,Tue Mar 05 03:04:56 +0000 2019,"@Santik_nya SAKING CINTANYA SAMPE JADI BEGO, TOLOL, GOBLOK, BUCIN MENGALIR DI DNA"
30,1356823548,Ipanâ˜ï¸,Tue Mar 05 03:04:34 +0000 2019,@BOT_MARAH HARUSNYA YG INI DITARO DI BIO TOLOL
31,852380154,Aisyyah Nurunnisa,Tue Mar 05 03:03:43 +0000 2019,Who do u think u are dude? I never getting jealous on u. TOLOL
32,837982028742049792,ã…¤ï½‘ï½—ï½‰ï½.,Tue Mar 05 03:03:39 +0000 2019,RT @dellaniacyn: @MYUNGSOOCAPER @silverqwin TOLOL BIN TOLOLğŸ˜­ @silverqwin
33,1598427926,chaca,Tue Mar 05 03:03:20 +0000 2019,Fix dah ni bener bener gw dah rapih jam 8 lewat 20an masa sampe kantor jam 9.51 masuknya aj jm 9 fix tolol
34,383689723,Muthia Afro,Tue Mar 05 03:01:45 +0000 2019,RT @melindpriana: Paling benci denger kata kata tolol itu kata yg palingggg kasar menurut gue sih
35,1338658640,Dian Purbasari,Tue Mar 05 03:00:13 +0000 2019,"Aku mudah marah seperti squidward, kadang aku juga Egois seperti Tuan Krab, kadang aku tolol seperti Patrick. Tapi aku akan selalu ada untukmu seperti Spongebob."
36,98343786,ğŸ«ğŸ¦‹,Tue Mar 05 03:00:09 +0000 2019,"@Minomi_Yesungie wow, dari tadi gue nggak ada ngehina ya :) baca ya TOLOL. gue nerusin bilang offended / sensi. https://t.co/EVqY7lB7Iv"
37,1065575584967708673,Abah Jenglot,Tue Mar 05 02:59:57 +0000 2019,"Hanya manusia tolol yang nyebut ini musibah. Karena orang pake narkoba itu kebiasaan, kecanduan. Mungkin @AndiArief__ sejak dulu dia pemakai sabu. https://t.co/4dyrlvfkEF"
38,1017280594311405568,mahluk,Tue Mar 05 02:59:25 +0000 2019,"RT @ahjusi_: @uusbiasaaja Agama ku asik cuman orang nya aja, banyak yang tolol"
39,703791866731302912,pio,Tue Mar 05 02:58:58 +0000 2019,"Heh, paku tembok seharusnya mikir lo.

Emang lo kira omongan lo itu ga bikin org lain kithati?

Nyuruh orang ngaca tapi dia sendiri ga ngaca.

Gosah sok suci la, lo ga punya privileged tolol semacem itu.

Ya kalo ga mau diomongin org jangan ngomongin orang.

Simple."
40,311275275,andi,Tue Mar 05 02:58:56 +0000 2019,@shittyrude @BOT_MARAH LAH ANJINK LU YANG TOLOL. Bilangin gitu ra
41,213178302,silvani rezky,Tue Mar 05 02:57:24 +0000 2019,"RT @halleluhellyeah: Ngarep pengen punya pacar yang religius itu tolol, sebab kalo beneran religius mana mau di ajak pacaran karena agama mâ€¦"
42,973821410706644994,ğŸŒ¸,Tue Mar 05 02:57:15 +0000 2019,"@askmenfess Nder, lu pagi pagi udah tolol aja"
43,949329637288509440,della,Tue Mar 05 02:55:49 +0000 2019,@MYUNGSOOCAPER @silverqwin TOLOL BIN TOLOLğŸ˜­ @silverqwin
44,320178844,ichal,Tue Mar 05 02:52:45 +0000 2019,"â€œEnak yaâ€
padahal di balik makanan ini ada kata2 yang bijak..
â€œTolol loâ€
â€œAnjing gua aja di kasi itu gamau makan, apalagi tamuâ€
â€œKepala lo kayak kontolâ€
-wingggg , teplon berterbangan-
-menghantam meja-
-menendang tong sampah-
Kita mah bawahan cuman blg â€œyes chefâ€ https://t.co/PQ8sNtWX2C"
45,1076429311127695361,(`ï½¥Ï‰ï½¥Â´),Tue Mar 05 02:51:36 +0000 2019,"RT @ahjusi_: @uusbiasaaja Agama ku asik cuman orang nya aja, banyak yang tolol"
46,851580594332999680,deha,Tue Mar 05 02:51:32 +0000 2019,"TOLONG BANGET REPORT AKUN DIBAWAH. tolol bgt yang ngedit!

 @ToTwentyYeri
@timetoIoveyeri"
47,2766907180,Sammybagasprawira,Tue Mar 05 02:50:41 +0000 2019,"RT @helmifelis: Cebong ngerti bahasa Inggris? Kan mayoritas pendukungnya tolol

Ini yang gue omongin 3 tahun lalu di FB sekarang ada nih

Iâ€¦"
48,1101104264540184576,Dissxwho?,Tue Mar 05 02:50:31 +0000 2019,"Ikan teri ikan benggol, dasar tolol https://t.co/p62NjaPkXg"
49,1095721817967255554,Riyadh Mahrez P,Tue Mar 05 02:50:07 +0000 2019,@AAdamKurniawan @RakyatPinggira7 @helmifelis Tampang tolol..
50,317649098,Letissia Adisty,Tue Mar 05 02:49:23 +0000 2019,"Dua hari terakhir, rasanya gue pengen marah-marah. Kalau ada yg bikin ribet, sedikit lemot, menghambat, atau juga yg rada tolol."
51,1096229016422367232,Ric Liem,Tue Mar 05 02:48:57 +0000 2019,"@Jayabay19479190 Gimana Prabowo bisa jd presiden klo anak buahnya tolol ga punya otak,tukang fitnah,suka menyalahkan org lain.
Tetap pakde Jokowi aja deh."
52,267529009,,Tue Mar 05 02:48:43 +0000 2019,Orang tolol adalah orang yg selalu menjelek2an negaranya sendiri padahal dia masih merupakan bagian dari warga negara tersebut.
53,830247847836606464,jihan,Tue Mar 05 02:48:17 +0000 2019,@rlthingy anjir ya ga gitu jugalah lo tolol jg gaada bedanya anjig emosi gue msh pagi astaghfirullahaladzim
54,993198896284295168,KaterinaKwari.#JokowiMaruf2019/24,Tue Mar 05 02:48:01 +0000 2019,@Fahrihamzah @jokowi Yg mintakan kalian doang.Rakyatvyg 200 juta jiwa pak Jkw ingin tetap kerja.Tolol kau dower
55,406047582,Yusuf Fauzi,Tue Mar 05 02:47:32 +0000 2019,dih tolol https://t.co/6ijo0ZR5NB
56,1620112339,nata / ğŸ¦‹,Tue Mar 05 02:47:21 +0000 2019,tolol.
57,1027147372042670080,fransiska tumbelaka,Tue Mar 05 02:46:59 +0000 2019,"Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 

#Jokowi2Periode"
58,1027085369139847168,sosial freedom,Tue Mar 05 02:46:58 +0000 2019,"Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 

#Jokowi2Periode"
59,1027150561513070593,Dinar Ginanti,Tue Mar 05 02:46:57 +0000 2019,"Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 

#Jokowi2Periode"
60,1025278791730380805,Hans Fuji,Tue Mar 05 02:46:28 +0000 2019,"Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 
#Jokowi2Periode"
61,1211173165,carlote,Tue Mar 05 02:46:12 +0000 2019,@tclols emg berlebihan tolol
62,591819623,bica,Tue Mar 05 02:46:03 +0000 2019,@muthiastp Tolol itu klo aku lg kenyang bgt
63,585475149,JRizki,Tue Mar 05 02:45:57 +0000 2019,"RT @ahjusi_: @uusbiasaaja Agama ku asik cuman orang nya aja, banyak yang tolol"
64,1045544813007843328,dinar,Tue Mar 05 02:45:45 +0000 2019,@bayu_joo tolol siağŸ˜‚
65,701396563956895744,BB:,Tue Mar 05 02:44:24 +0000 2019,"RT @Ronnie_Rusli: Terlalu bnyk org â€œtololâ€ yg berfikir bangun kilang menguntungkan. Kilang minyak proyek rugi., tdk ada untungnya kecuali yâ€¦"
66,406047582,Yusuf Fauzi,Tue Mar 05 02:44:23 +0000 2019,lah tolol https://t.co/A0GZXON5Et
67,1094952444033822726,hantu,Tue Mar 05 02:43:53 +0000 2019,@dwikacangin dih tolol
68,1096229016422367232,Ric Liem,Tue Mar 05 02:43:11 +0000 2019,"@detikcom Tolol kg punya otak
Jgn2 loe juga lagi sakaw ya
Menyalahkan org lain"
69,921067435,en,Tue Mar 05 02:43:01 +0000 2019,@rlthingy lah kok tolol
70,1072667199351939072,Mas Puji,Tue Mar 05 02:42:53 +0000 2019,"@AkunTofa Yg cerdas lah, jng tolol keterusan"
71,974299627821309952,JOMBLO hambalang @telojava,Tue Mar 05 02:42:44 +0000 2019,"@Ainun95145059 @NataliusPigai2 Iya raimu itu siapa mau tumbangkan rezim,emang lu Sdh ngaca lbh baik dari pak jkw lol tolol"
72,154826527,dickykusnadi,Tue Mar 05 02:42:18 +0000 2019,@wahhabicc_jabar @Gerindra Tolol
73,1052176229636366337,alfihikami,Tue Mar 05 02:42:18 +0000 2019,"@tubirfess Realistis, tapi tolong keinginan kaya gitu disimpen dalem hati aja tolol, ga kasian apa ama perasaan cowonya"
74,334998977,Cup :(,Tue Mar 05 02:42:08 +0000 2019,"RT @halleluhellyeah: Ngarep pengen punya pacar yang religius itu tolol, sebab kalo beneran religius mana mau di ajak pacaran karena agama mâ€¦"
75,315139900,Muthia ğŸ’,Tue Mar 05 02:42:00 +0000 2019,Duh napa tolol amat sih
76,1018013667386785792,bihun item,Tue Mar 05 02:40:15 +0000 2019,"@rlthingy Emg lu kira meluk2 cowo ga dosa juga? Emg lu kira cm org pacaran doang yg bisa zinah? Pnya agama tu biae pinter, bukan tambah tolol ughte mawar"
77,1101876538193010690,jmin,Tue Mar 05 02:39:52 +0000 2019,@AHaeffy @Anissuddin @RiseSailormoon @jokowi tolol.. pemerintah mendukung mobil nasional seperti smk itu. yg produksi pt smk alias swasta kalau udah siap pasti didukung.. ibarat lo sekolah didukung ortumu tapi kanu gak lulus lulus apa kau bilang ortumu janji janji mulu?
78,1055215159,hellodonn,Tue Mar 05 02:39:34 +0000 2019,"RT @halleluhellyeah: Ngarep pengen punya pacar yang religius itu tolol, sebab kalo beneran religius mana mau di ajak pacaran karena agama mâ€¦"
79,993198896284295168,KaterinaKwari.#JokowiMaruf2019/24,Tue Mar 05 02:39:24 +0000 2019,"@Poetra22607597 @PartaiSocmed @BadjaNuswantara Itu makanya kita hrs koreksi diri dan ngaca .Jangan koreksi ,kritik,nyinyirin org jago tak taunya diri sendiri bermasalah.
Ini namanya manusia pekok, munafik,tolol.Jangan kita merasa lbh benar dr org lain .Semut dimata orang dia lihat padahal balok ada dimata dia ngak dilihatnya"
80,762272580686393344,Luana,Tue Mar 05 02:39:21 +0000 2019,"@Athar69046912 Emang TOLOL DAN DUNGU.. Justru tertangkapnya Wasekjen Demokrat @AndiArief__ Membuktikan ke SERIUS an Pemerintah MemBASMI NARKOBA, Tidak Pandang siapapun Dia 
#02nyabu
#02AndiAriefNarkoba"
81,470684602,Lukita Adam,Tue Mar 05 02:39:16 +0000 2019,"RT @ahjusi_: @uusbiasaaja Agama ku asik cuman orang nya aja, banyak yang tolol"
82,445897786,@kusnaclludhtie,Tue Mar 05 02:38:52 +0000 2019,Kolotna teu hideung..tolol https://t.co/Rm7psY5Unu
83,741752360062459904,bucin,Tue Mar 05 02:38:51 +0000 2019,@rlthingy tolol bgt
84,1061129658182193152,Seruni Lumongga,Tue Mar 05 02:38:44 +0000 2019,@detikcom Ye gila udah terciduk masih aja nyalahin orang. Pakek narkoba mah pakek aja gausah nyalahin pemerintah. Tolol
85,1001692188277968897,KOMANDO PRABOWO!,Tue Mar 05 02:37:25 +0000 2019,"@Fahrihamzah @tri_kemal .
Gue Nonton Bang @Fahrihamzah,
Cuma Gue Bete dan Kesal
Banyak Manusia TOLOL bin Dungu Yang Komentar,

Jadi Ilfil dan gue Keluar,
Padahal gue Pengen Nyimak Habis
Penjelasannya,
Komentar Netizen Bodoh dungu Merusak Suasana,"
86,4734434623,ulik,Tue Mar 05 02:36:44 +0000 2019,"RT @halleluhellyeah: Ngarep pengen punya pacar yang religius itu tolol, sebab kalo beneran religius mana mau di ajak pacaran karena agama mâ€¦"
87,562855843,ay.,Tue Mar 05 02:36:42 +0000 2019,"RT @gagitufay: Kebiasaan tolol gua kan kalau dosen nampilin materi suka gua foto, eh bgst taunya materi udah dishare di grup terus buat apaâ€¦"
88,97486369,gusabi knpdia??,Tue Mar 05 02:36:31 +0000 2019,@rezaalpp Lo tolol!!
89,917578176322093056,lemonğŸ‹,Tue Mar 05 02:36:16 +0000 2019,@rlthingy tolol
90,1033880266673020928,Yadi,Tue Mar 05 02:33:30 +0000 2019,"@bintangku206 @Aconghai90 Polisi banci.... 
Tolol dungu gx berotak... 
Itu org bkn barang... 
Loe anggep hercules maen ceweng... 
Beraninya am yg krempeng"
91,161570163,Amir Annuar,Tue Mar 05 02:33:04 +0000 2019,"@Ikhwan_Saloot Yes, mcm gaji 15k sebulannya habis begitu sahaja, dasar tolol, biarkan jelah, yang ko nk tunjuk ko berduit tue knape, tiada faedah sungguh"
92,1094591780975083520,âœ© surely âœ©,Tue Mar 05 02:32:54 +0000 2019,@FANBASEBOKEP2 Gini ya kalau tutup botol kecap dikasih nyawa ğŸ¶ğŸ¶ğŸ¶ Tolol
93,1058927508924465158,Mornan,Tue Mar 05 02:32:47 +0000 2019,"Peculik laknat 1998 kok dipilih ??
Pendukung TOLOL !!
#JatimMenangkan_Prabowo_Sandi"
94,860520814923268097,Ari Kudo ğŸ‡®ğŸ‡©,Tue Mar 05 02:31:53 +0000 2019,"RT @Karolina_bee11: @MegaSimarmata kemrin anda jelek2in Bapak @Jokowi lalu mendukung PS, dan mem blok saya dkk.. skarag anda pasang AVa dgnâ€¦"
95,870695340634021888,RSBS,Tue Mar 05 02:31:45 +0000 2019,"RT @AmirulSyhr: Absolutely nobody:     

Troll indonesian feeders after solo diving into enemy: 

TIM GOBLOK TOLOL NOOB TIM ANJING BAHALOLâ€¦"
96,1059265123368361984,miauwww,Tue Mar 05 02:31:27 +0000 2019,@Athar69046912 Lohhhh ko tolol ya.. Apa apa salah Jokowi.. Situ waras???
97,1090803630184194048,LOONA FIRST WINâœˆâœˆ,Tue Mar 05 02:30:53 +0000 2019,"Sorry , padahal pernah seperti itu , ya didampingi bukan dihina,aku tau perasan mereka karena pernah dihujat,dihina,dijauhin. Ahhh tolol ,maaf maaf maaf"
98,1087643016687378432,Juple,Tue Mar 05 02:30:16 +0000 2019,"@maudyayunda direbutin 2 univ terbaik dunia. Yang liat langsung minder sambil ngebatin ""kok Tuhan g adil ya, kok gue cacat bgt ya, kok gue tolol bgt ya sbm aja g diterima lah ini direbutin 2 univ terbaik dunia, dll"". Jujur gue juga merasakan hal yang sama, bt let's see the thread"
99,1096237651152199680,rudolfogorat,Tue Mar 05 02:30:10 +0000 2019,"@detikcom para komentar tolol dan bodoh memaksakan orang salat subuh, urus diri sendiri saja, masuk surga gak bisa dipaksa, mantap pak kyai"
